ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
1,3606,Insertion coro art stent,Insertion of drug-eluting coronary artery stent
2,8856,Coro angio 2 cath,Coronary angiography using two catheters
3,3893,Venous cath NEC,Venous catheterization NEC
4,3713,IABP,Insertion of intra-aortic balloon pump
5,9390,CPAP,Continuous positive airway pressure
6,9671,Cont inv mec ven <96 hrs,Continuous mechanical ventilation <96 hours
7,9604,Insert endotracheal tube,Insertion of endotracheal tube
8,4513,EGD with biopsy,Esophagogastroduodenoscopy with closed biopsy
9,5121,Percutaneous liver bx,Percutaneous liver biopsy
10,8844,Arterial blood gases,Arterial blood gas measurement
11,8872,Diagnostic ultrasound,Diagnostic ultrasound of other sites of thorax
12,8841,CV stress test,Cardiovascular stress test
13,9904,Packed red cell transf,Transfusion of packed red blood cells
14,3891,Arterial catheter,Arterial catheterization
