label_idx,support,predictions,code,frequency,stratum,precision,recall,f1,auc
0,3,7,49390,53,tail,0.42857142857142855,1.0,0.6,1.0
1,3,6,4280,50,tail,0.5,1.0,0.6666666666666666,1.0
2,6,3,49320,49,tail,1.0,0.5,0.6666666666666666,0.7083333333333333
3,5,7,2780,49,tail,0.42857142857142855,0.6,0.5,0.6399999999999999
4,5,3,5715,49,tail,1.0,0.6,0.7499999999999999,0.6799999999999999
5,4,4,41071,47,tail,1.0,1.0,1.0,1.0
6,7,4,2724,47,tail,1.0,0.5714285714285714,0.7272727272727273,0.7619047619047619
7,3,3,2762,47,tail,1.0,1.0,1.0,1.0
8,8,4,41401,46,tail,1.0,0.5,0.6666666666666666,0.75
9,4,7,53081,46,tail,0.42857142857142855,0.75,0.5454545454545454,0.8333333333333334
10,5,4,4019,45,tail,1.0,0.8,0.888888888888889,0.88
11,4,3,4809,45,tail,1.0,0.75,0.8571428571428571,0.9166666666666667
12,5,3,5789,45,tail,1.0,0.6,0.7499999999999999,0.9600000000000001
13,4,4,25000,44,tail,1.0,1.0,1.0,1.0
14,8,3,2859,43,tail,1.0,0.375,0.5454545454545454,0.625
15,6,0,V4582,30,tail,0.0,0.0,0.0,0.25
16,3,0,51881,27,tail,0.0,0.0,0.0,0.6190476190476191
17,3,0,0389,27,tail,0.0,0.0,0.0,0.6666666666666667
18,2,0,78039,25,tail,0.0,0.0,0.0,0.5
19,3,3,5990,25,tail,0.0,0.0,0.0,0.19047619047619047
20,3,0,5849,25,tail,0.0,0.0,0.0,0.5714285714285714
21,2,3,2851,23,tail,0.0,0.0,0.0,0.5
22,5,0,42731,23,tail,0.0,0.0,0.0,0.8400000000000001
23,3,0,99592,23,tail,0.0,0.0,0.0,0.6190476190476191
24,2,0,43491,21,tail,0.0,0.0,0.0,0.9375
25,5,0,5859,20,tail,0.0,0.0,0.0,0.64
26,3,0,4928,18,tail,0.0,0.0,0.0,0.47619047619047616
