label_idx,support,predictions,code,frequency,stratum,precision,recall,f1,auc
0,381,0,4019,3740,head,0.0,0.0,0.0,0.6963733733606402
1,252,0,4280,2572,head,0.0,0.0,0.0,0.746938927085986
2,271,0,42731,2504,head,0.0,0.0,0.0,0.6910543179505869
3,215,47,41401,2314,head,0.851063829787234,0.18604651162790697,0.30534351145038163,0.8925374018663901
4,174,0,5849,1640,head,0.0,0.0,0.0,0.7507096935793605
5,168,0,25000,1636,head,0.0,0.0,0.0,0.6393229166666666
6,158,0,2724,1573,head,0.0,0.0,0.0,0.7398674043116149
7,159,0,51881,1426,head,0.0,0.0,0.0,0.7643865120139995
8,119,0,5990,1225,head,0.0,0.0,0.0,0.6484323581873158
9,124,0,53081,1135,head,0.0,0.0,0.0,0.6490462512888496
10,118,0,2720,1106,head,0.0,0.0,0.0,0.7325704293016643
11,107,0,2859,970,medium,0.0,0.0,0.0,0.6102238595095812
12,92,0,2449,907,medium,0.0,0.0,0.0,0.6551666347443019
13,104,0,486,893,medium,0.0,0.0,0.0,0.7520067822802198
14,78,0,2851,855,medium,0.0,0.0,0.0,0.6285110406585461
15,93,0,496,848,medium,0.0,0.0,0.0,0.6274377304359166
16,83,0,2762,837,medium,0.0,0.0,0.0,0.7524142371010761
17,81,0,5070,752,medium,0.0,0.0,0.0,0.7526834052042611
18,77,0,V5861,702,medium,0.0,0.0,0.0,0.6832744720068664
19,70,0,99592,662,medium,0.0,0.0,0.0,0.8537327188940093
20,69,0,0389,650,medium,0.0,0.0,0.0,0.7999346191565871
21,56,0,3051,646,medium,0.0,0.0,0.0,0.6563445823244551
22,61,0,311,633,medium,0.0,0.0,0.0,0.6781892141971751
23,73,0,40390,618,medium,0.0,0.0,0.0,0.8132434868702989
24,73,0,5859,618,medium,0.0,0.0,0.0,0.7709358513986788
25,71,0,412,608,medium,0.0,0.0,0.0,0.7278157643384526
26,55,0,4240,593,medium,0.0,0.0,0.0,0.7483597883597883
27,48,0,2875,568,medium,0.0,0.0,0.0,0.6255033263305322
28,53,0,41071,564,medium,0.0,0.0,0.0,0.795560957143711
29,63,0,5119,547,medium,0.0,0.0,0.0,0.7063407362233401
30,56,0,2761,537,medium,0.0,0.0,0.0,0.6537341101694915
31,49,0,V4581,514,medium,0.0,0.0,0.0,0.6863666602287603
32,60,0,V1582,507,medium,0.0,0.0,0.0,0.6687943262411348
33,56,0,9971,504,medium,0.0,0.0,0.0,0.8142024818401938
34,43,0,V4582,497,medium,0.0,0.0,0.0,0.7857160214818595
35,47,0,40391,486,medium,0.0,0.0,0.0,0.8451251367462213
36,35,0,4241,483,medium,0.0,0.0,0.0,0.8357957068837898
37,56,0,V5867,456,medium,0.0,0.0,0.0,0.7180500907990315
38,36,0,5845,448,medium,0.0,0.0,0.0,0.8182342093130475
39,48,0,42789,442,medium,0.0,0.0,0.0,0.6112788865546219
40,49,0,78552,442,medium,0.0,0.0,0.0,0.8251893817463893
41,39,54,V290,440,medium,0.7222222222222222,1.0,0.8387096774193548,0.9939699565089783
42,46,0,32723,425,medium,0.0,0.0,0.0,0.773174733388023
43,34,54,7742,424,medium,0.6296296296296297,1.0,0.7727272727272727,0.99363658506881
44,53,0,2760,423,medium,0.0,0.0,0.0,0.8214022434300969
45,43,0,5180,419,medium,0.0,0.0,0.0,0.5101941629608029
46,40,0,4589,387,medium,0.0,0.0,0.0,0.692734375
47,35,0,2767,382,medium,0.0,0.0,0.0,0.7207994078460399
48,40,0,78039,381,medium,0.0,0.0,0.0,0.8122135416666667
49,32,0,49390,379,medium,0.0,0.0,0.0,0.7007683367768595
